"Lake","Length_cm","Weight_g"
"Upstream",26.3,318.7
"Upstream",27.3,347.7
"Upstream",32.7,332.6
"Upstream",28.2,329.6
"Upstream",28.4,311.5
"Upstream",33.1,338.6
"Upstream",29.4,316.5
"Upstream",24.2,290
"Upstream",25.9,328.6
"Upstream",26.7,367.6
"Upstream",31.7,322.7
"Upstream",29.1,358.2
"Upstream",29.2,291.5
"Upstream",28.3,338.3
"Upstream",26.3,355.6
"Upstream",33.4,349
"Upstream",29.5,343.2
"Upstream",22.1,320.8
"Upstream",30.1,314.5
"Upstream",26.6,309.3
"Upstream",24.8,343.5
"Upstream",27.3,311.6
"Upstream",24.9,325.3
"Upstream",25.8,332.3
"Upstream",26.1,395.3
"Upstream",22.9,320.4
"Upstream",30.5,347.1
"Upstream",28.5,342.3
"Upstream",24.6,311.1
"Upstream",31.8,337.9
"Upstream",29.3,383.3
"Upstream",27.1,353.5
"Upstream",30.7,341.2
"Upstream",30.6,327.3
"Upstream",30.5,278.4
"Upstream",30.1,373.9
"Upstream",29.7,296.2
"Upstream",27.8,362.2
"Upstream",27.1,397.3
"Upstream",26.9,296.7
"Upstream",25.9,361.1
"Upstream",27.4,332.1
"Upstream",24.2,292.8
"Upstream",34.5,294.6
"Upstream",31.6,292
"Upstream",24.6,324.1
"Upstream",26.8,296.1
"Upstream",26.6,360.6
"Upstream",30.3,403
"Upstream",27.7,301.4
"Downstream",28.8,323.6
"Downstream",27.9,323.1
"Downstream",27.9,310
"Downstream",32.1,269.7
"Downstream",27.3,296.4
"Downstream",32.5,291.6
"Downstream",23.4,316.9
"Downstream",29.8,288.8
"Downstream",28.4,329.3
"Downstream",28.6,288.8
"Downstream",29.1,331.6
"Downstream",26.5,268.5
"Downstream",27,262.2
"Downstream",24.9,397.2
"Downstream",24.8,287.5
"Downstream",28.9,308.9
"Downstream",29.3,319.1
"Downstream",28.2,285.5
"Downstream",30.8,315.5
"Downstream",34.2,311.1
"Downstream",26.5,293.5
"Downstream",21.1,302
"Downstream",31,299
"Downstream",25.9,363.9
"Downstream",25.9,277.8
"Downstream",31.1,267.1
"Downstream",27.1,301.1
"Downstream",24.3,309.3
"Downstream",28.5,313.1
"Downstream",27.6,286.2
"Downstream",28,268.1
"Downstream",29.2,337.9
"Downstream",26.9,289.5
"Downstream",29.9,274
"Downstream",27.3,292.9
"Downstream",29,294.1
"Downstream",31.3,333.3
"Downstream",29.3,302.5
"Downstream",27,322.6
"Downstream",31.4,285
"Downstream",31,306.4
"Downstream",29.6,290.3
"Downstream",28.7,302.8
"Downstream",26.1,273.1
"Downstream",32.1,260.7
"Downstream",26.2,359.9
"Downstream",34.6,318
"Downstream",32.6,262.5
"Downstream",27.3,281.7
"Downstream",24.9,264.4
