accession	leaf-color	leaf-length	leaf-width	leaf-ratio	lea-shape	stem-diameter	stem-color	node-length	plant-height	flower-color	label
1	Green Group NN137 Greyish Olive B	7.6	3	2.533333333	Bulat memanjang (oblongus)	2.61	Yellow-green 145 Strong yellow green A	3	30	White group NN155 white D 	Pesisir
2	Green Group NN137 Greyish Olive B	5.1	2.2	2.318181818	Bulat memanjang (oblongus)	1.92	Yellow-green 145 Strong Yellow Green A	2	42	White group NN155 white D	Pesisir
3	Green Group NN137 Greyish Olive B	4.2	2.6	1.615384615	Membulat (elipticus)	2.18	Yellow-green 145 Light Yellow B	3.8	42.5	White group NN155 white D	Pesisir
4	Green Group NN137 Greyish Olive A	5.2	2.2	2.363636364	Membulat (elipticus)	3.15		2.6	27.6	Pink Group NN74 Strong Reddish Purple B	Pesisir
5	Green Group NN137 Greyish Olive A	6.5	3.4	1.911764706	Membulat (elipticus)	2		4.6	38.1	Pink Group NN74 Strong Reddish Purple B	Pesisir
6	Green Group NN137 Greyish Olive A	5.9	2.7	2.185185185	Membulat (elipticus)	1.57		2.9	22	Pink Group NN74 Strong Reddish Purple B	Pesisir
7	Green Group NN137 Greyish Olive B	5.2	2.5	2.08	Membulat (elipticus)	3.25	Purple Group N77 Greyish Purplis Red B	2.6	40	Pink Group NN74 Light Reddish Purple C	Pesisir
8	Green Group NN137 Greyish Olive B	5.4	2.3	2.347826087	Membulat (elipticus)	1.98	Purple Group N77 Greyish Purplis Red D	2	32	Pink Group NN74 Light Reddish Purple C	Pesisir
9	Green Group NN137 Greyish Olive B	8.1	3.7	2.189189189	Membulat (elipticus)	0.64	Yellow-green Group 146 Moderate Yellow Green D	0	37.9	White group NN155 white D	Pesisir
10	Green Group NN137 Greyish Olive A	4.7	2.8	1.678571429	Membulat (elipticus)	1.22		1	34.6	Pink group NN74 Light Reddish Purple C	Pesisir
11	Green Group NN137 Greyish Olive A	6.5	3.2	2.03125	Membulat (elipticus)	1.91		2.9	35.2	Pink Group NN74 Strong Reddish Purple B	Pesisir
12	Green Group NN137 Greyish Olive A	9.8	4.5	2.177777778	Membulat (elipticus)	1.65		2.6	42.3	Pink group NN74 Light Reddish Purple C	Pesisir
13	Green Group NN137 Greyish Olive B	5.5	2.7	2.037037037	Membulat (elipticus)	1.62		2	30.7	Pink Group NN74 Strong Reddish Purple B	Pesisir
14	Green Group NN137 Greyish Olive A	9.1	4.2	2.166666667	Membulat (elipticus)	1.53	Purple Group N77 Greyish Purplis Red B	3.7	23.8	Pink Group NN74 Strong Reddish Purple B	Pesisir
15	Green Group NN137 Greyish Olive A	5.3	2.2	2.409090909	Membulat (elipticus)	2.19	Purple Group N77 Greyish Purplis Red B	2.5	41.3	Pink Group NN74 Strong Reddish Purple B	Pesisir
16	Green Group NN137 Greyish Olive B	7.4	3.4	2.176470588	Membulat (elipticus)	1.45	Purple Group N77 Greyish Purplis Red B	1.2	33.9	Pink group NN74 Light Reddish Purple C	Pesisir
17	Green Group NN137 Greyish Olive A	9.2	4	2.3	Membulat (elipticus)	1.41	Yellow-green Group 146 Moderate Yellow Green D	2	36.7	Pink group NN74 Light Reddish Purple D	Pesisir
18	Green Group NN137 Greyish Olive A	5.9	3.6	1.638888889	Membulat (elipticus)	2.37	Yellow-green Group 146 Moderate Yellow Green D	1.1	36.4	White group NN155 white D	Pesisir
19	Green Group NN137 Greyish Olive B	8.1	3.9	2.076923077	Membulat (elipticus)	1.29	Yellow-green Group 146 Moderate Yellow Green D	2.3	29.9	White group NN155 white D	Pesisir
20	Green Group NN137 Greyish Olive A	6.2	3.4	1.823529412	Membulat (elipticus)	2.91	Red purple Group 59 Moderat Purplis Red C	0.7	34.3	Pink group NN74 Light Reddish Purple D	Pesisir
21	Green Group NN137 Greyish Olive B	4.3	2	2.15	Membulat (elipticus)	4.1	Red Purple Group 59A Dark Red 	3.3	49.5	Pink Group NN 74C Light Reddish Purple	Menengah
22	Green Group NN137 Greyish Olive B	5.2	3.1	1.677419355	Membulat (elipticus)	0.23	Greyed-Red 182B Greyish Red	2.5	39.2	Red-Purple Group N 73C Deep Purplish Pink	Menengah
23	Green Group NN137 Greyish Olive B	3.1	2.8	1.107142857	Bulat (orbeicularis)	0.28	Greyed-Red 182B Greyish Red	2.4	48.3	Pink Group NN 74B Strong Reddish Purple	Menengah
24	Green Group NN137 Greyish Olive B	3.1	2.8	1.107142857	Bulat (orbeicularis)	0.97	Greyed-Red 183B Dark Red	2.4	53.6	Pink Group NN 74C Light Reddish Purple	Menengah
25	Green Group NN137 Greyish Olive B	4.1	2.15	1.906976744	Membulat (elipticus)	0.1	Greyed-Red 183B Dark Red	2.4	43.5	Pink Group NN 74C Light Reddish Purple	Menengah
26	Green Group NN137 Greyish Olive B	5.1	2.2	2.318181818	Membulat (elipticus)	0.18	Yellow-Green 145B Light Yellow Green	2.4	47.7	Pink Group NN 74C Light Reddish Purple	Menengah
27	Green Group NN137 Greyish Olive B	4.6	2	2.3	Membulat (elipticus)	4.19	Greyed-Purple 183D Moderate Red	1.6	42.2	Pink Group NN 74B Strong Reddish Purple	Menengah
28	Green Group NN137 Greyish Olive B	4.5	2.2	2.045454545	Membulat (elipticus)	4.38	Greyed-Red 182B Greyish Red	1.9	54.4	Pink Group NN 74B Strong Reddish Purple	Menengah
29	Green Group NN137 Greyish Olive B	6	3	2	Membulat (elipticus)	3.54	Greyed-Red 182B Greyish Red	2.1	30.4	Pink Group NN 74C Light Reddish Purple	Menengah
30	Green Group NN137 Greyish Olive B	4.5	2.2	2.045454545	Membulat (elipticus)	3.9	Greyed-Red 182B Greyish Red	1.3	47.2	Pink Group NN 74C Light Reddish Purple	Menengah
31	Green Group NN137 Greyish Olive B	4.5	2.5	1.8	Membulat (elipticus)	3	Greyed-Red 183B Dark Red	1.2	28.4	Pink Group NN 74C Light Reddish Purple	Menengah
32	Green Group NN137 Greyish Olive B	6.2	2.6	2.384615385	Membulat (elipticus)	5.28	Greyed-Red 183B Dark Red	0.7	40.7	Pink Group NN 74B Strong Reddish Purple	Menengah
33	Green Group NN137 Greyish Olive B	3.1	2.7	1.148148148	Bulat (orbeicularis)	4.84	Greyed-Red 183B Dark Red	1.1	59.6	Pink Group NN 74B Strong Reddish Purple	Menengah
34	Green Group NN137 Greyish Olive B	3.1	2	1.55	Membulat (elipticus)	3.78	Greyed-Red 183A Dark Red	1.2	41.2	Pink Group NN 74C Light Reddish Purple	Menengah
35	Green Group NN137 Greyish Olive B	5.5	2.65	2.075471698	Membulat (elipticus)	3.88	Greyed-Red 182C Dark Pink	0.9	37.1	Pink Group NN 74C Light Reddish Purple	Menengah
36	Green Group NN137 Greyish Olive B	4.6	2.1	2.19047619	Membulat (elipticus)	2.62	Greyed-Red 183B Dark Red	1	31.3	Pink Group NN 74C Light Reddish Purple	Menengah
37	Green Group NN137 Greyish Olive B	5	2.5	2	Membulat (elipticus)	2.53	Greyed-Red 182B Greyish Red	1.4	38.4	Pink Group NN 74C Light Reddish Purple	Menengah
38	Green Group NN137 Greyish Olive B	7.4	3.6	2.055555556	Membulat (elipticus)	2.99	Greyed-Red 182B Greyish Red	1.1	22.2	Pink Group NN 74B Strong Reddish Purple	Menengah
39	Green Group NN137 Greyish Olive B	5.8	3.1	1.870967742	Membulat (elipticus)	3.69	Greyed-Red 182B Greyish Red	1.1	30.1	Pink Group NN 74B Strong Reddish Purple	Menengah
40	Green Group NN137 Greyish Olive B	5.6	3.7	1.513513514	Membulat (elipticus)	3.61	Greyed-Red 183A Dark Red	1.1	28.2	Pink Group NN 74C Light Reddish Purple	Menengah
41	Green Group NN137 Greyish Olive A  	9.7	3.3	2.939393939	Bulat Memanjang (oblongus)	3.69	Purple Group N78 B	1.7	45.4	Red purple Group N74 D	Tinggi
42	Green Group NN137 Greyish Olive A	4.6	2.3	2	Membulat (elipticus)	3.62	Yellow-green Group 144 B	0.9	37	Pink Group NN77 B	Tinggi
43	Green Group NN137 Greyish Olive A	5.2	2.5	2.08	Membulat (elipticus)	4.39	Yellow-green Group 144 C	1.1	22.5	Pink Group NN78 B	Tinggi
44	Green Group NN137 Greyish Olive A	8.6	3.5	2.457142857	Bulat Memanjang (oblongus)	5.66	Yellow-green Group 144 C	0.8	54.1	Pink Group NN77 C	Tinggi
45	Green Group NN137 Greyish Olive A	9.5	3.1	3.064516129	Bulat Memanjang (oblongus)	5.16	Yellow-green Group 144 B	2.2	52.6	Pink Group NN78 D	Tinggi
46	Green Group NN137 Greyish Olive A	6.3	3	2.1	Membulat (elipticus)	4.96	Yellow-green Group 144 B	2.1	96.7	"White group NN155 white D
"	Tinggi
47	Green Group NN137 Greyish Olive A	7.2	3.5	2.057142857	Membulat (elipticus)	5.74	Yellow-green Group 144 A	1.8	85.2	Tidak ada bunga	Tinggi
48	Green Group NN137 Greyish Olive A	6.9	3	2.3	Membulat (elipticus)	9.82	Yellow-green Group 144 B	1.8	90.8	"Pink Group NN78 D
"	Tinggi
